age,education,sex,relationship,marital-status,income
81.0,10th,Male,Husband,Married-civ-spouse,<=50K
44.0,Masters,Female,Unmarried,Widowed,<=50K
43.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
39.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
53.0,Masters,Female,Unmarried,Divorced,<=50K
35.0,12th,Male,Not-in-family,Never-married,<=50K
52.0,9th,Male,Husband,Married-civ-spouse,>50K
64.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
39.0,Some-college,Male,Husband,Married-civ-spouse,>50K
55.0,Some-college,Male,Husband,Married-civ-spouse,>50K
33.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
46.0,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
26.0,Bachelors,Male,Own-child,Never-married,<=50K
30.0,7th-8th,Male,Husband,Married-civ-spouse,>50K
52.0,HS-grad,Male,Not-in-family,Widowed,<=50K
25.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
38.0,Masters,Female,Wife,Married-civ-spouse,<=50K
22.0,Some-college,Male,Not-in-family,Never-married,>50K
31.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
38.0,HS-grad,Female,Unmarried,Divorced,<=50K
34.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
43.0,1st-4th,Female,Not-in-family,Never-married,<=50K
45.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,Some-college,Female,Not-in-family,Never-married,<=50K
24.0,Some-college,Female,Unmarried,Never-married,<=50K
28.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
59.0,9th,Female,Not-in-family,Never-married,<=50K
51.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
54.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
46.0,11th,Male,Husband,Married-civ-spouse,<=50K
36.0,HS-grad,Female,Not-in-family,Divorced,>50K
37.0,Some-college,Male,Unmarried,Widowed,<=50K
37.0,Some-college,Male,Not-in-family,Never-married,<=50K
53.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37.0,HS-grad,Female,Not-in-family,Separated,<=50K
38.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
38.0,HS-grad,Female,Unmarried,Separated,<=50K
41.0,Some-college,Female,Not-in-family,Divorced,<=50K
53.0,Bachelors,Female,Unmarried,Divorced,<=50K
33.0,Bachelors,Female,Not-in-family,Never-married,<=50K
34.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
74.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
58.0,Some-college,Male,Not-in-family,Widowed,<=50K
34.0,HS-grad,Male,Own-child,Never-married,<=50K
19.0,11th,Male,Own-child,Never-married,<=50K
72.0,10th,Male,Husband,Married-civ-spouse,<=50K
30.0,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
52.0,HS-grad,Female,Unmarried,Divorced,<=50K
31.0,Assoc-acdm,Female,Not-in-family,Never-married,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,10th,Male,Not-in-family,Divorced,<=50K
54.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
42.0,Bachelors,Male,Not-in-family,Never-married,<=50K
55.0,HS-grad,Male,Not-in-family,Separated,<=50K
18.0,11th,Male,Own-child,Never-married,<=50K
42.0,11th,Male,Husband,Married-civ-spouse,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
18.0,Some-college,Male,Not-in-family,Never-married,<=50K
41.0,Masters,Male,Husband,Married-civ-spouse,>50K
40.0,Doctorate,Female,Not-in-family,Divorced,>50K
54.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
40.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
54.0,Bachelors,Male,Not-in-family,Divorced,<=50K
71.0,12th,Male,Husband,Married-civ-spouse,>50K
40.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
46.0,HS-grad,Male,Not-in-family,Never-married,<=50K
49.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
41.0,Some-college,Female,Not-in-family,Divorced,<=50K
39.0,Prof-school,Male,Other-relative,Married-civ-spouse,>50K
32.0,Some-college,Female,Unmarried,Divorced,<=50K
19.0,Masters,Female,Unmarried,Widowed,>50K
23.0,Some-college,Female,Own-child,Never-married,<=50K
24.0,HS-grad,Female,Own-child,Never-married,<=50K
30.0,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
46.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
20.0,Some-college,Female,Other-relative,Never-married,<=50K
51.0,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
47.0,Doctorate,Male,Not-in-family,Divorced,<=50K
35.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
44.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
31.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
31.0,Some-college,Male,Own-child,Never-married,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
42.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
18.0,Some-college,Male,Own-child,Never-married,<=50K
30.0,Assoc-voc,Female,Wife,Married-civ-spouse,<=50K
24.0,Assoc-voc,Male,Not-in-family,Never-married,<=50K
32.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
43.0,Some-college,Female,Unmarried,Divorced,>50K
20.0,HS-grad,Male,Own-child,Never-married,<=50K
42.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
17.0,7th-8th,Male,Not-in-family,Married-AF-spouse,<=50K
27.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
64.0,Some-college,Female,Not-in-family,Widowed,<=50K
36.0,HS-grad,Male,Unmarried,Divorced,<=50K
41.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
31.0,Some-college,Male,Husband,Married-civ-spouse,>50K
44.0,Masters,Male,Husband,Married-civ-spouse,>50K
41.0,Some-college,Male,Husband,Married-civ-spouse,>50K
43.0,Masters,Male,Husband,Married-civ-spouse,<=50K
20.0,11th,Male,Own-child,Never-married,<=50K
41.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
59.0,5th-6th,Male,Husband,Married-civ-spouse,<=50K
55.0,HS-grad,Female,Not-in-family,Divorced,<=50K
36.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
26.0,HS-grad,Male,Own-child,Never-married,<=50K
33.0,HS-grad,Male,Not-in-family,Never-married,<=50K
54.0,HS-grad,Female,Husband,Divorced,<=50K
28.0,Masters,Female,Wife,Married-civ-spouse,>50K
33.0,Masters,Male,Husband,Married-civ-spouse,>50K
40.0,HS-grad,Female,Own-child,Never-married,<=50K
31.0,5th-6th,Female,Not-in-family,Never-married,<=50K
51.0,HS-grad,Male,Unmarried,Divorced,<=50K
21.0,HS-grad,Male,Other-relative,Never-married,<=50K
42.0,HS-grad,Male,Own-child,Never-married,<=50K
66.0,11th,Male,Husband,Married-civ-spouse,<=50K
52.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
42.0,HS-grad,Female,Unmarried,Divorced,<=50K
32.0,10th,Female,Unmarried,Never-married,<=50K
46.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
34.0,Assoc-voc,Female,Not-in-family,Never-married,>50K
25.0,Some-college,Female,Not-in-family,Never-married,<=50K
35.0,10th,Female,Wife,Married-civ-spouse,<=50K
51.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
19.0,12th,Male,Other-relative,Never-married,<=50K
43.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
27.0,Bachelors,Male,Not-in-family,Never-married,<=50K
20.0,Some-college,Female,Not-in-family,Never-married,<=50K
47.0,HS-grad,Female,Not-in-family,Never-married,<=50K
31.0,Bachelors,Female,Unmarried,Divorced,<=50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
41.0,7th-8th,Female,Not-in-family,Divorced,<=50K
41.0,Some-college,Male,Unmarried,Divorced,<=50K
29.0,HS-grad,Female,Not-in-family,Never-married,<=50K
31.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
56.0,Some-college,Male,Husband,Married-civ-spouse,>50K
34.0,Some-college,Male,Husband,Married-civ-spouse,>50K
18.0,Some-college,Male,Not-in-family,Never-married,<=50K
35.0,HS-grad,Female,Unmarried,Divorced,<=50K
18.0,Some-college,Male,Own-child,Never-married,<=50K
19.0,HS-grad,Female,Other-relative,Separated,<=50K
25.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
62.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
41.0,Assoc-voc,Male,Not-in-family,Never-married,<=50K
58.0,10th,Female,Not-in-family,Divorced,<=50K
24.0,5th-6th,Male,Own-child,Never-married,<=50K
59.0,Bachelors,Female,Other-relative,Separated,<=50K
30.0,Bachelors,Female,Not-in-family,Never-married,<=50K
28.0,Masters,Male,Husband,Married-civ-spouse,>50K
23.0,7th-8th,Female,Unmarried,Divorced,<=50K
72.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Male,Own-child,Never-married,<=50K
31.0,Bachelors,Female,Not-in-family,Never-married,<=50K
37.0,Assoc-voc,Female,Not-in-family,Divorced,<=50K
24.0,Some-college,Female,Own-child,Never-married,<=50K
51.0,Bachelors,Male,Own-child,Never-married,>50K
32.0,HS-grad,Female,Not-in-family,Divorced,<=50K
57.0,10th,Male,Unmarried,Divorced,<=50K
32.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
47.0,10th,Male,Husband,Married-civ-spouse,<=50K
27.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
33.0,Some-college,Male,Own-child,Never-married,<=50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
43.0,Bachelors,Male,Unmarried,Widowed,<=50K
58.0,HS-grad,Female,Not-in-family,Divorced,<=50K
45.0,Masters,Male,Husband,Married-civ-spouse,>50K
22.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
53.0,Assoc-acdm,Male,Other-relative,Divorced,<=50K
32.0,Some-college,Male,Husband,Married-civ-spouse,>50K
57.0,Some-college,Male,Not-in-family,Divorced,<=50K
51.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
41.0,9th,Female,Unmarried,Divorced,<=50K
51.0,Some-college,Male,Husband,Married-civ-spouse,>50K
59.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
48.0,5th-6th,Female,Wife,Married-civ-spouse,<=50K
39.0,Masters,Male,Husband,Married-civ-spouse,<=50K
78.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
55.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
38.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
36.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
50.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
33.0,HS-grad,Female,Not-in-family,Never-married,<=50K
18.0,12th,Female,Not-in-family,Never-married,<=50K
53.0,Bachelors,Male,Own-child,Never-married,>50K
22.0,Some-college,Male,Own-child,Never-married,<=50K
61.0,Some-college,Male,Husband,Married-civ-spouse,>50K
33.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
38.0,Assoc-acdm,Male,Unmarried,Divorced,>50K
43.0,Bachelors,Female,Wife,Married-civ-spouse,>50K
42.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
41.0,HS-grad,Male,Not-in-family,Divorced,<=50K
73.0,1st-4th,Male,Husband,Married-civ-spouse,>50K
44.0,Bachelors,Male,Not-in-family,Married-spouse-absent,>50K
54.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
46.0,11th,Male,Husband,Married-civ-spouse,<=50K
44.0,Assoc-voc,Female,Wife,Married-civ-spouse,<=50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
61.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
39.0,HS-grad,Female,Own-child,Divorced,<=50K
42.0,Some-college,Male,Husband,Married-civ-spouse,>50K
48.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
54.0,Masters,Male,Husband,Married-civ-spouse,>50K
62.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
33.0,Some-college,Male,Husband,Married-civ-spouse,>50K
62.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
20.0,11th,Male,Own-child,Never-married,<=50K
65.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
51.0,HS-grad,Male,Not-in-family,Never-married,<=50K
42.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
33.0,HS-grad,Female,Not-in-family,Never-married,<=50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
24.0,Some-college,Male,Other-relative,Never-married,<=50K
26.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
19.0,Some-college,Female,Not-in-family,Never-married,<=50K
31.0,10th,Male,Husband,Married-civ-spouse,>50K
24.0,Some-college,Female,Own-child,Never-married,<=50K
43.0,HS-grad,Male,Not-in-family,Separated,<=50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
39.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
22.0,Doctorate,Male,Not-in-family,Never-married,<=50K
24.0,HS-grad,Female,Not-in-family,Never-married,<=50K
25.0,Some-college,Male,Unmarried,Never-married,<=50K
52.0,10th,Male,Husband,Married-civ-spouse,<=50K
39.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
32.0,HS-grad,Female,Not-in-family,Never-married,<=50K
29.0,Bachelors,Female,Wife,Married-civ-spouse,<=50K
18.0,Some-college,Male,Own-child,Never-married,<=50K
53.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
23.0,Some-college,Female,Not-in-family,Never-married,<=50K
48.0,Some-college,Male,Husband,Married-civ-spouse,>50K
44.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
34.0,Assoc-acdm,Male,Own-child,Never-married,<=50K
18.0,11th,Female,Own-child,Never-married,<=50K
18.0,11th,Female,Other-relative,Never-married,<=50K
44.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
35.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
31.0,HS-grad,Female,Own-child,Never-married,<=50K
24.0,Some-college,Female,Own-child,Never-married,<=50K
40.0,HS-grad,Male,Own-child,Never-married,<=50K
51.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
43.0,Masters,Female,Unmarried,Divorced,<=50K
41.0,Some-college,Male,Husband,Married-civ-spouse,>50K
59.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
45.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
31.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
35.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
56.0,Preschool,Male,Husband,Married-civ-spouse,>50K
83.0,11th,Female,Own-child,Separated,>50K
28.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
33.0,Some-college,Male,Husband,Married-civ-spouse,>50K
18.0,Some-college,Male,Own-child,Never-married,<=50K
25.0,HS-grad,Female,Not-in-family,Never-married,<=50K
35.0,Masters,Female,Not-in-family,Never-married,>50K
29.0,Bachelors,Male,Not-in-family,Divorced,<=50K
50.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
36.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
47.0,7th-8th,Male,Husband,Married-civ-spouse,<=50K
55.0,Some-college,Male,Husband,Married-civ-spouse,>50K
25.0,HS-grad,Female,Own-child,Never-married,<=50K
32.0,Some-college,Male,Husband,Married-civ-spouse,>50K
55.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
46.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
21.0,Some-college,Female,Not-in-family,Never-married,<=50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
29.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
57.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
19.0,11th,Female,Own-child,Never-married,<=50K
34.0,Some-college,Female,Wife,Married-civ-spouse,<=50K
53.0,HS-grad,Female,Unmarried,Divorced,<=50K
22.0,Some-college,Male,Own-child,Never-married,<=50K
43.0,Bachelors,Male,Not-in-family,Never-married,>50K
21.0,HS-grad,Female,Not-in-family,Never-married,<=50K
57.0,10th,Female,Not-in-family,Widowed,<=50K
29.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
33.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
21.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
34.0,7th-8th,Male,Unmarried,Never-married,<=50K
49.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
38.0,1st-4th,Male,Husband,Married-civ-spouse,<=50K
70.0,Preschool,Female,Wife,Married-civ-spouse,<=50K
48.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
54.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
43.0,Bachelors,Female,Not-in-family,Never-married,<=50K
43.0,Masters,Male,Not-in-family,Never-married,<=50K
29.0,Bachelors,Female,Unmarried,Divorced,<=50K
23.0,Some-college,Female,Not-in-family,Never-married,<=50K
48.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
36.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
64.0,11th,Female,Not-in-family,Widowed,<=50K
25.0,Some-college,Male,Husband,Married-civ-spouse,>50K
33.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
53.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
59.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
67.0,Masters,Male,Husband,Married-civ-spouse,>50K
28.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
52.0,9th,Male,Husband,Married-civ-spouse,<=50K
56.0,7th-8th,Female,Unmarried,Widowed,<=50K
36.0,11th,Female,Not-in-family,Never-married,<=50K
40.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
45.0,Masters,Male,Husband,Married-civ-spouse,>50K
19.0,HS-grad,Male,Own-child,Never-married,<=50K
39.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Male,Other-relative,Married-civ-spouse,<=50K
27.0,Some-college,Male,Own-child,Never-married,<=50K
42.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
61.0,HS-grad,Female,Not-in-family,Divorced,<=50K
43.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
17.0,HS-grad,Male,Own-child,Never-married,<=50K
28.0,Some-college,Female,Not-in-family,Never-married,<=50K
18.0,11th,Female,Other-relative,Never-married,<=50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
38.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
44.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
22.0,HS-grad,Female,Unmarried,Never-married,<=50K
39.0,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
33.0,Some-college,Male,Husband,Married-civ-spouse,>50K
55.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
45.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
23.0,HS-grad,Female,Not-in-family,Never-married,<=50K
35.0,11th,Male,Husband,Married-civ-spouse,<=50K
31.0,Some-college,Female,Not-in-family,Never-married,<=50K
30.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
35.0,HS-grad,Male,Not-in-family,Divorced,<=50K
39.0,10th,Male,Not-in-family,Divorced,<=50K
30.0,Bachelors,Female,Not-in-family,Never-married,>50K
17.0,10th,Female,Unmarried,Never-married,<=50K
66.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
56.0,Doctorate,Male,Husband,Married-civ-spouse,>50K
33.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
24.0,Some-college,Male,Own-child,Never-married,<=50K
27.0,Some-college,Male,Not-in-family,Never-married,<=50K
25.0,HS-grad,Male,Own-child,Never-married,<=50K
28.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33.0,Masters,Male,Not-in-family,Never-married,<=50K
20.0,12th,Male,Other-relative,Never-married,<=50K
32.0,Bachelors,Male,Own-child,Never-married,<=50K
44.0,Some-college,Female,Wife,Married-civ-spouse,>50K
63.0,7th-8th,Male,Not-in-family,Divorced,<=50K
34.0,Some-college,Female,Not-in-family,Married-spouse-absent,<=50K
35.0,Bachelors,Male,Not-in-family,Divorced,>50K
43.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
43.0,Masters,Male,Not-in-family,Divorced,>50K
48.0,Some-college,Male,Unmarried,Divorced,<=50K
46.0,Bachelors,Female,Own-child,Never-married,<=50K
37.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
34.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
38.0,Masters,Male,Husband,Married-civ-spouse,>50K
51.0,HS-grad,Female,Wife,Married-civ-spouse,>50K
52.0,Some-college,Male,Husband,Married-civ-spouse,>50K
67.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
25.0,HS-grad,Male,Not-in-family,Never-married,<=50K
37.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
41.0,Masters,Male,Husband,Married-civ-spouse,>50K
51.0,HS-grad,Female,Wife,Married-civ-spouse,<=50K
44.0,Doctorate,Female,Other-relative,Married-civ-spouse,>50K
26.0,HS-grad,Male,Not-in-family,Never-married,<=50K
21.0,Some-college,Female,Own-child,Never-married,<=50K
43.0,Masters,Male,Husband,Married-civ-spouse,>50K
42.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
20.0,Some-college,Male,Own-child,Never-married,<=50K
17.0,HS-grad,Male,Own-child,Never-married,<=50K
34.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
23.0,10th,Female,Not-in-family,Never-married,<=50K
34.0,Bachelors,Male,Not-in-family,Divorced,>50K
30.0,Bachelors,Male,Husband,Married-civ-spouse,<=50K
40.0,HS-grad,Male,Not-in-family,Never-married,<=50K
51.0,5th-6th,Female,Wife,Married-civ-spouse,<=50K
41.0,Masters,Female,Wife,Married-civ-spouse,>50K
34.0,10th,Female,Unmarried,Divorced,<=50K
18.0,HS-grad,Female,Own-child,Never-married,<=50K
42.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
34.0,HS-grad,Female,Not-in-family,Never-married,<=50K
50.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
52.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
59.0,11th,Female,Not-in-family,Widowed,<=50K
51.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
34.0,Masters,Male,Husband,Married-civ-spouse,>50K
59.0,Some-college,Male,Husband,Married-civ-spouse,>50K
30.0,Some-college,Male,Husband,Married-civ-spouse,<=50K
47.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
29.0,HS-grad,Male,Not-in-family,Never-married,<=50K
36.0,Some-college,Male,Unmarried,Never-married,<=50K
37.0,HS-grad,Male,Not-in-family,Never-married,<=50K
18.0,Assoc-voc,Female,Own-child,Never-married,<=50K
19.0,HS-grad,Male,Own-child,Never-married,<=50K
33.0,Assoc-acdm,Male,Not-in-family,Divorced,<=50K
35.0,HS-grad,Female,Own-child,Divorced,<=50K
30.0,Bachelors,Male,Not-in-family,Never-married,<=50K
25.0,Bachelors,Male,Not-in-family,Never-married,<=50K
40.0,Prof-school,Male,Husband,Married-civ-spouse,>50K
51.0,12th,Male,Husband,Married-civ-spouse,>50K
56.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
58.0,Some-college,Male,Husband,Married-civ-spouse,>50K
31.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
59.0,Masters,Male,Not-in-family,Divorced,>50K
35.0,Bachelors,Male,Not-in-family,Never-married,<=50K
29.0,Some-college,Female,Other-relative,Never-married,<=50K
43.0,HS-grad,Male,Not-in-family,Never-married,<=50K
53.0,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
31.0,Some-college,Male,Not-in-family,Never-married,<=50K
64.0,Some-college,Male,Own-child,Married-civ-spouse,<=50K
28.0,HS-grad,Female,Not-in-family,Widowed,>50K
37.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
20.0,11th,Female,Not-in-family,Never-married,<=50K
49.0,Some-college,Male,Husband,Married-civ-spouse,>50K
45.0,HS-grad,Female,Unmarried,Divorced,<=50K
64.0,7th-8th,Male,Husband,Married-civ-spouse,>50K
25.0,Bachelors,Male,Husband,Married-civ-spouse,>50K
53.0,HS-grad,Male,Not-in-family,Widowed,<=50K
53.0,HS-grad,Male,Not-in-family,Divorced,>50K
18.0,HS-grad,Male,Own-child,Never-married,<=50K
33.0,HS-grad,Female,Not-in-family,Never-married,>50K
46.0,HS-grad,Male,Husband,Married-civ-spouse,>50K
53.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
56.0,Bachelors,Female,Unmarried,Divorced,<=50K
28.0,Some-college,Male,Husband,Married-civ-spouse,>50K
43.0,Some-college,Female,Not-in-family,Widowed,<=50K
56.0,HS-grad,Male,Husband,Married-civ-spouse,<=50K
