,row,label
53,"Sim eu atualizei, quando ele reiniciou ele fica numa tela preta, com a seguinte mensagem: checking e nunca inicia o windows normal, já e a segunda vez que isso acontece quando atualiza o BIOS update.pode me ajudar?",1
54,Bom dia,1
55,Eita,1
56,Ideapad s400 touch,1
57,Processador esta contando menos núcleos,1
58,"O Notebook esta demorando pra iniciar, fui nas configurações alterar a quantidade de núcleos utilizados para a inicialização e mostra que so tem 2 núcleossendo que é um i7 com 8 núcleos",1
59,PE03S1UC,1
60,alguma posição sobre o problema?,1
61,Estou necessitando de carregador de bateria,1
62,"Bom dia meu nome é Rodrigo, comprei um notebook 2 em 1 lenovo yoga 500 I5 de 1 tb. sempre usei com a máxima atenção e cuidado, porém na data de ontem quando abri o notebbok, ele veio a soltar uma parte do plástico do lado esquerdo, vindo a quebrar, é como se fosse um encaixe uma peça que fica ao lado da borracha, queria saber se isso é  comum, ou ou ela é sensível mesmo, sem bater ou mexer. Comprei esse notebook faz 1 ano e 9 meses, nunca tive problemas com nada relacionado ou notebook, mas fiquei chateado por ter acontecido isso, queria saber se podem me ajudar, o número de protocolo de autorização de uso é 135170625389304 27/09/2017. Desde já agradeço.",2
63,Ok então faz pra mim,1
64,"Quando eu troco pelo carregador do note da minha esposa, carrega normal",1
65,Ola! Obrigada pela resposta. Meu ideapad novo não carrega a 100%.. ele fica dando a mensagem '2 minutos para carga total' por horas e fica sempre em 99%.. é alguma configuração ou defeito na bateria?,1
66,"Mais não e o teclado, sim Tout",1
67,E fica com a mensagem 02 minutes until fully charged,1
68,"ealizei o pedido 4334378897, esta em análise de crédito algum problema? È um presente para meu pai ... gostaria de estimar a data de chegada..",1
69,pedido 4334378897,1
70,quero falr com alguem!!!!!,1
71,é sobre um pedido não tenho o nhumero de série,1
72,Vocês têm alguma assistência técnica EM São Bernardo do Campo?,1
73,Falar com um agente,1
74,atendimento horrível!!!!,2
75,Sim,1
76,Tanto q este modelo ainda vinha com o w8,1
77,Ok,1
78,Ideapad 320,1
79,Oi estou querendo  contato  para garantia do  note  e não estou conseguindo,1
80,Boa tarde. Gostaria de saber o status do reparo do meu produto. O protocolo é 5000279363.,1
81,Vcs não tem nem a peça?,1
82,Para vender?,1
83,Não  estou conseguindo  contato  pode me ajudar já fui na loja que comprei fiz até garantia  estendida  no ato da compra  instalaram um programa  na som que acabou com o note praticamente  comprei e não  usei ainda,1
84,PE03X63F,1
85,Oii,1
86,Sim. Acende e imediatamente desliga.,1
87,Lenovo Ideapad 320,1
88,Percebi que não arranca fonte,1
89,"Estou com problemas na tela, conversar com um agente",1
90,Oi,1
91,Meu notebook está com problemas no display,1
92,Gostaria de saber o status do reparo do meu notebook. O protocolo é 5000279363,1
93,"Mais ou menos, em certa parte da tela os leds estão mais fracos e tem um ponto de luz como se estivesse fora do lugar",1
94,Tenho interesse no core i7 ali de 3500,1
95,"Ola, algum retorno?",1
96,"Bom dia, gostaria de saber como proceder em relação a um ponto de luz branco que apareceu na tela de meu notebook",1
97,Gostaria de saber porque meu pedido foi cancelado,1
98,Oiiiiiiii,1
99,PE03W1DR,1
100,Gostaria de saber o motivo do cancelamento do meu pedido,1
101,Olá,1
102,"Vocês tem ideia do que aconteceu com meu notebook, visto que ele não tinha três meses completos de uso?",1
103,preciso de ajuda com meu all in one,1
104,???,1
105,preciso falar com alguém,1
106,"aiaiai, não tem uma pessoa real aí não?",2
107,Gostaria de saber o que vai ser feito?,1
108,fica triste? kkkkkkkkkkkkkkkk,1
109,fui!,1
110,"Sim sim, eu sei que faz tempo, mas é que eu fico o dia todo fora, e estava organizando um evento semana passada, então não pude terminar",1
111,Posso acabar de onde parei?,1
112,Não tenho o produto ainda,1
113,Tenho protocolo recebido por email,1
114,Olá! Tenho um Lenovo 710S que vai fazer 2 anos em agosto e apareceu um risco vertical azul na tela...,1
115,Hoje recebi que a resposta vira em 48 horas,1
116,"Já reiniciei o computador e nao desapareceu. E apareceu do nada quando ele já estava ligado, nao foi quando eu liguei",1
117,Mas essa informação ja me tranquiliza,1
118,Bom dia tudo bem?,1
119,E aí?,1
120,"01PÇ  Desktop Lenovo M710s SFF, Intel Core I7-7700, 16GB DDR4, SSD 480GB, Windows 10 Pro, DVD-RW, Gar-antia 1 ano On-site / 2 Saídas de rede",1
121,tenho um cliente precisando esse item,1
122,"porém, os que escontro em mercado são com ssd 256 e memoria de 8gb",1
123,bom dia,1
124,comprando com meu CNPJ de MEI tenho algum desconto?,1
125,Como consigo o disco de reparação do meu notebook?,1
126,Não Inicia,1
127,PE03YYHA,1
128,bom dia. preciso de um representante lenovo em BH para atendimento em garantia,1
129,https://www.lenovo.com/br/pt/laptops/ideapad/serie-300/Ideapad-320-15-Intel/p/88IP3000842?utm_campaign=lomadee&utm_medium=lomadee&source=Lomadee&ipromoID=LEN441187&cid=br:affiliate:lomadee&utm_source=lomadee&lmdsid=724835554828-7897# gostaria de saber o preo desse nootbook,1
130,?,1
131,No site quando clico no pedido aparece em analise de credito porem ja caiu no meu cartao a primeira parcela .... ou seja o site nao esta atualizando nada,1
132,??????),1
133,Vocês descobriram a origem do problema? Porque a placa mãe queimou? Ou isso só será informado no relatório final?,1
134,Olá Preciso do driver do HDMI,1
135,digital,1
136,estou com dúvidas em relação ao equipamento,1
137,configurar a entrada por digital,1
138,HDMI,1
139,DRIVER,1
140,"ok, vou começar o processo",1
141,PE042UOM,1
142,na especificações es estrito 'Até 256GB OPAL2 SATA/PCie M.2' ele aceita somente m2 de 256 ou aceita m2 de 1tb,1
143,Essa piroca de note está com problema no teclado,2
144,"ajudou sim, obrigada pelo atendimento. Depois de uns dois dias o computador voltou a rodar tranquilamente. vou preencher sim, positivamente. :)",0
145,Me informaram pelo contato da Lenovo que o S340 ainda não tem previsão de vir para o Brasil,1
146,preciso falar com atendente ou gerente ou tecnico,1
147,Então sigo aguardando com meu notebook quebrado,1
148,Lenovo 81JM0002BR,1
149,😥,2
150,preciso comprar uma gravadora,1
151,Boa noite!,1
152,compra,1
153,Já,1
154,Qual diferença do Lenovo 81JM0002BR para o Lenovo 81JM0003BR é somente o tamanho da tela?,1
155,pe03j6wl,1
156,Não resolveu,1
157,"O problema está no leitor de impressões digitais. Ele sempre funcionou normalmente, mas agora não aparece a opção de configurar impressões digitais no menu de configurações",1
158,Pesquisei na net e nao estou achando outra diferetnça....ha achei tambem que um tem 3 celulas de bateria outro 3.....,1
159,E não consigo mais cadastrar impressões digitais,1
160,"PRECISO DE UM NOTE COM MAIS DE 3,0 GHZ DE PROCESSADOR",1
161,Quero comprar um notebook,1
162,Segundo a nota fiscal foi dia 17/05/2017,1
163,Ola,1
164,como configurar a entrada por digital,1
165,gerente por favor,1
166,meu nootebook demora para abrir arquivos,1
167,Foi um presente,1
168,Mas eu tenho esta imagem:,1
169,ja postei no facebook espero que por la consiga ajuda,1
170,GERENTE AI POR FAVOR,1
171,DIFICIL FALAR COM UM ROBO,2
172,então... oque devo fazer?,1
173,. não tenho contato fácil com ele,1
174,O notebook está muito lento,1
175,E assim  o computador  fica só na tela de iniciar mas não liga está  dando sinal mas não  liga,1
176,Preciso que me informe o endereço da autorizada Lenovo pra eu levar o meu notebook,1
177,Muito obrigada!,0
178,Boa noite,1
179,Aguardarei o laudo.,1
180,Por favor me informe quando o produto 20L6SCWC00 chegar,1
181,Me falaram  que  deve ter sido programa  pirata que colocam  na som informática onde comprei,1
182,O que eu faço,1
183,MINI DESKTOP,1
184,"Olá amigos da Lenovo, tudo bem? Posso até enviar as informações para vocês sobre a compra, mas eu consegui resolver o problema lendo posts do forum da Lenovo... e a dica para solucionar o problema é muito simples e foi disponibilizada pela própria Microsoft.... 'Passar uma flanela ou pano similar na tela' e tudo volta ao normal, não sei se tem haver com eletricidade estática, ou muito uso deixa a tela 'suja' mas o que sei é resolveu o problema, eu havia passado o dia todo do sábado tentando resolver e nada.... mas isso foi a solução! Bem espero ter ajudado, e se possível publique essa dica em uma página ou avise ao serviço de SAC ou similar dessa possibilidade caso ocorra.  Grande abraço a todos",1
185,bios update,1
186,Olá bom dia!,1
187,preciso de um mini pc,1
188,mini desktop,1
189,"Ok, muito obrigado.",0
190,Oiiii,1
191,Mas para vendas qual seria o canal?,1
192,Ok 👍,1
193,Eu tenho q esperar mais qto tempo?,1
194,Não mas posso fazê-lo,1
195,Onde comprei  sol  informática  instalaram  programa  pirata,1
196,Gostaria de um not com SSD,1
197,Oiiiiioii,1
198,SSD,1
199,qual ssd para yogo 520?,1
200,ux ruim!,2
201,Não carregou as informações,1
202,esta é a loja da lenovo ?,1
203,quero comprar um notebook,1
204,Pra postar o notebook que vence a garantia dia 06,1
205,A TELA ACENDE,1
206,Bom dia! o número é PE028SXB,1
207,Oiii,1
208,MTM: 80UG0001BR,1
209,MEU NOTEBOOK NÃO INICIA,1
210,só liga após apertar esc várias vezes,1
211,Ok vou pegar,1
212,emblema lenovo,1
213,o número 3 do teclado do notebook não funciona,1
214,O brilho está desajustado no canto direito inferior,1
215,Pedido: 4334381401,1
216,Número Pedido: 4334381401,1
217,Sim faço esse processo.,1
218,Bem mais escuro que o restante da tela,1
219,Conversar um agente,1
220,"E tem uma manchinha de luz, um pequeno ponto onde acontece o contrário, a tela brilha mais do que o restante dos pixels",1
221,ola,1
222,"Problema resolvido, obrigado",0
223,"olá, obrigado pela assistência. Preciso de ajuda em mais uma coisa",0
224,quando clico na tecla 'caps lock' aparece um sinal de que a tecla está acionada,1
225,Humpf talvez seja porque eu reenviei ao invés de mandar outra,1
226,gostaria de tirá-la,1
227,"Sim sim, é que o bot que me encaminhou a você me disse leds, eu estranhei mas pelo tipo de display comecei a usar o termo",1
228,Boa tarde,1
229,sim,1
230,PROTOCOLO 5000278318 /  CPF 095.091.793-10,1
231,O mais em conta com 8gb,1
232,"No dia: June 01, 2019 3:14 PM",1
233,"E então? Meu amigo de trabalho disse que isso pode acabar em perda total de imagem, nessa região, fiquei bastante assustado.",2
234,"Gostaria de saber quando será aprovado, minhas compras nunca demoraram assim no pagamento",1
235,Entendi.,1
236,Preço do concorrente está menor!,1
237,Bom dia. Estou precisando de uma ajuda com a configuração do SSD do meu notebook como cache,1
238,Como eu faço para acompanhar a entrega de meu produto?,1
239,Nome completo: João Vitor Vasconcelos Silveira,1
240,Pk,1
241,Que está nessa imagem:,1
242,Tá certo,1
243,Ele mora em Massachusetts e não pode ser facilmente contatado,1
244,Tá certo muito obrigado,0
245,Eu posso dar o meu CPF?,1
246,"Sim, o áudio é decorrência do vídeo travado que causa travamento completo do equipamento",1
247,Sn PEO28QV8,1
248,Quero um note para uso doméstico e que tenha melhor custo benefício,1
249,Sim e ágora  o que faço,1
250,ele so funciona qnd está do lado do roteador,1
251,Bom dia!!,1
252,Na mesma direção,1
253,8ssb10d85346zzaz3a7007w. Este eh uma sequencia que encontrei na bateria,1
254,Meu notebook não liga,1
255,atendente,1
256,mochila,1
257,11s121500195z10038r2w5  Essa eh outra sequencia,1
258,"Claro, fico no aguardo",1
259,Falar com atendimento,1
260,Acredito que sim,1
261,Av principal próximo a creche CMEI sagrado coração de Jesus,1
262,"Muiito obrigado, se bem me lembro do procedimento, dentro de 48 horas  falarei com a mesma pessoa, certo?",0
263,preciso do processador 3106,1
264,boa tarde,1
265,"Pode ser inapropriado, se sim, tudo bem, mas posso saber o seu nome? É que pra mim é esquisito, e não sei como chamar se precisar de algo kkkj",1
266,servidor,1
267,gostaria de manifestar minha insatisfação com relação aos celulares da lenovo,2
268,"comprei o celular e com pouco tempo deu problema, parou de vibrar",1
269,Apertei tecla f9 não  aparece  yes,1
270,Não  aparece nada,1
271,Entendo entendo,1
272,Obrigado!!!,0
273,Boa tarde!,1
274,Gostaria de saber quantos slots de memoria RAM tem o modelo ideapad 320 80YH0008BR,1
275,serio?,1
276,"sobre o ryzen 5, qual tipo do ssd m2 eu posso colocar nele?",1
277,Preciso de informações sobre a compra,1
278,84,1
279,Bom é um ponto luz mais forte que ao redor tem pontos menores,1
280,letra A,1
281,sim!,1
282,Depois  que fiz isso está uma tela sem nada  e assim o que faço  agora,1
283,oi?,1
284,nuss,1
285,Ooiii,1
286,Oiiiii,1
287,"Oi, boa tarde",1
288,"Oi, eu gostaria sim, entretanto, tenho um problema de ordem prática.",1
289,"Então, a carcaça dele ta descolando ja tem bastante tempo, mas agora ta ele ta começando a quebrar ja",1
290,Eu só tenho esta máquina para trabalhar e realizar todas as minhas atividades escolares.,1
291,Aí eu tinha que fazer alguma coisa antes que piorasse,1
292,Mais preciso levar ele pra manutenção,1
293,E aí vcs não nos dar esse suporte,1
294,Nao encontro nada com sn,1
295,Não consigo rastrear meu produto,1
296,Só na garantia,1
297,É muito tempo para a entrega. Há possibilidade da aquisição da carcaça e autorizada para fazer o serviço aqui em Linhares/ES?,1
298,Tudo q tem de etiqueta estao nas fotos acima,1
299,Teclado não funciona,1
300,Está lento demais,1
301,E eu quero colocar mais memória,1
302,Autorizada no rio de janeiro,1
303,"Notebook não carrega, tá com mal contato na entrada do cabo",1
304,Cliquei em  system  recoveri e apareceu isso  o que faço,1
305,"Ok, entendi.",1
306,Oiiiiiiiiiiiii,1
307,"Bom dia, eu tenho um computador de vocês Lenovo Ideapad 330-15IKBR, que ainda está na garantia, mas vem dando problema, travando",1
308,S/N PE023ML4 MTM: 80NE000GBR,1
309,Chegando no 1% é só aguardar?,1
310,"Olá, preciso de assistencia para o Lenovo G8",1
311,falar com um atendente,1
312,Quando eu abro ele parece que vai quebrar,1
313,Olha vou ser bem sincero com você . Já tive problemas de mais com essa máquina. Dês do início falei que queria trocar porém precisava de uma posição de vocês segundo a loja em que comprei . Mais se toda vez que eu precisar da máquina não conseguir usar fica difícil .,2
314,fdp,2
315,onde tem assistencia tecnica,1
316,Sim rs,1
317,Oiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1
318,Não sei escrever kkk,1
319,nao é tablet,1
320,notebook lenovo yoga,1
321,"Na primeira vez que liguei sim mas de la em diante ele aparece carregando, mas chega no maximo de 99%",1
322,por horas fica essa mensagem,1
323,Processador,1
324,noooooo,1
325,Não aparece esta mensagem,1
326,Meu amigo,1
327,Vou comprar uns 3 pendrives e cartões SD hoje e vou tentar novamente . Caso contrário mando novamente para vocês,1
328,Pois ele descarregar em 1 hora e meia,1
329,Pe03x1yl,1
330,Esta os dois,1
331,"SIM 1 ano e 9 meses, a data foi no dia 27/09/2017 .",1
332,E queria ativar pelo menos 4,1
333,Pois meu trabalho exige que a máquina não trave,1
334,Gostaria de saber se há alguma previsão de lançamento do modelo de laptop s940 aqui no Brasil,1
335,Cor,1
336,meu teclado não funciona,1
337,Comprar ideapad 320,1
338,robo burro,2
339,80yh0008br,1
340,"Bom dia, existe algum telefone ou email que eu possa entrar em contato?",1
341,no posso igitr,1
342,Olá estou querendo comprar o Ryzen 5 330S,1
343,Quero comprar um ideapad 320,1
344,Desconto Estudante,1
345,PE03KEB6,1
346,Deu certo,1
347,"Olá, meu pedido está em análise de crédito, é normal?",1
348,Sandreli Sousa da  Costa estado Pará  bairro  Bengui  TV  Valdir acatalaçu Nunes  248-A CPF  60276568249  cep 66630365 casa 91(991681478+992618614),1
349,E agora  qual procedimento,1
350,Sandreli20@hotmail.com,1
351,PE03XK25,1
352,"Boa Tarde! Venho por meio deste demonstrar minha indignação com o produto que adquiri da Lenovo, no dia 31/03/2018, um celular motorola modelo moto G5S (XT1792), no qual fiz a compra confiando na qualidade que seria os celulares da motorola, que no caso fabricante Lenovo, o mesmo parou de funcionar o sinal das operadoras, ou seja ele reconhece o chip porém fica sem serviço. Fiz todo o procedimento de restauração de fábrica do celular e não adiantou de nada, o celular é novo nunca se quer caiu ou levou alguma pancada para ocorrer isso que está acontecendo. A garantia de um ano se encerrou. E a Lenovo não tem se quer uma assistência técnica próxima ao qual eu possa mandar fazer conserto do celular, e ninguém, simplesmente ninguém na cidade faz o conserto do celular, que no momento se encontra perdido, onde dependo extremamente dele para o meu trabalho. E estou impossibilitado de fazer qualquer tipo de ligação ou usar internet, por que confiei na qualidade do celular fabricado pela Lenovo, ao qual me arrependo muito de ter comprado, e que nunca comprarei outro, ou indicarei para ninguém. Fica aqui minha insatisfação com o produto que comprei.",2
353,"Ja utlizei os dois, nao recebi retorno no email e o link de tracking nao tem nenhuma informacao ... me indica procurar o suporte ..",1
354,O número de série é PE044WNH,1
355,Estou  aguardando  finalizar,1
356,meu,1
357,Boa Tarde,1
358,pedido,1
359,Gostaria de saber onde posso encontrar uma autorizada aqui na cidade de Niterói(RJ) para um allinone que quebrou a tela,1
360,O que faço,1
361,Oiie,1
362,S40HJCFM7C,1
363,Gostaria de uma ajuda,1
364,Putz,1
365,Meu teclado nao faz simbolo do diametro,1
366,"Esse seria o endereço correto caso os órgãos tivessem mais atenção e vontade de fazer a coisa correta, mais infelizmente e Brasil. Bom irei informar o endereço cujo o qual consta na documentação da empresa para não haver mais divergência",2
367,A 1 mês,1
368,Eu acabei entrando em contato por telefone e um técnico de vocês fez um acesso remoto e algumas atualizações que estão  em execução... caso o computador permaneça com o problema eu falo com vocês novamente,1
369,E agora  o que faço,1
370,E agora?,1
371,Preciso saber sobre desconto para estudante,1
372,Muuuuito obrigado mesmo,0
373,Oiiiiiiiiiiiiiiiiii,1
374,"Oi Jishu, quero confirmar o envio do meu equipamento que foi pra garantia",1
375,"Ele reinicia e desliga, e aparece a mesma mensagem, checking média, depois entra com uma mensagem em azul : default boot device missing ir boot failed. Inserir recovery média and hit any Key the select ' Boot manager ' to choose a New Boot device or to Boot recovery media",1
376,Quero falar com uma pessoa Jishu,1
377,Nao,1
378,Informação de produto,1
379,"Existe algum canal de vendas, quero comprar um notebook ideapad 320, mas queria mais informações",1
380,Comprei um Notebook e recebi e-mail de cancelamento,1
381,Bluetooth,1
382,Pois no email não esta marcado o número do condomínio,1
383,Liguei no 0800 mas não consegui ser atendido,1
384,"Correto, esse mesmo",1
385,4334380687,1
386,So quero saber se esta tudo em ordem com o pedido e previsao de entrega,1
387,Entendi.. é que entrei no site de Portugal e por algum motivo direcionou-me aqui,1
388,Obrigada!,0
389,"Sim, até uns 10 dias atrás, minha bateria durava entre 3h30, 5h",1
390,notebook*,1
391,"Espere uns minutos, já falamos.",1
392,Agora dura 1h30 no máximo,1
393,em belo horizonte/MG,1
394,Nas mesmas configurações e fazendo basicamente a mesma coisa,1
395,meu notebook não liga,1
396,preciso comprar um carregador de notebook da lenovo do modelo 110-15 ibr,1
397,"Comprei um notebook Lenovo, no meu cartão de crédito consta como aprovado e já está na minha próxima fatura. Ai recebo um e-mail de cancelamento e não consigo falar com ninguém pelo telefone nem por aqui. O que devo fazer?",1
398,"Eu uso mesmo conectado ao carregador, nunca deixo terminar ou pedir carga",1
399,como faço para adquirir um x3250,1
400,Que nota?,1
401,"E ativei o modo de segurança, que mantém a carga entre 50 e 60%",1
402,Estou com meu notebook ThinkPad travando à todo instante e preciso do disco de reparação. Como faço para obtê-los?,1
403,"Porque jogo bastante, então ele fica algum tempo na tomada",1
404,"Então, vou procurar aqui...",1
405,Estou querendo adquirir um novo produto ThinkPad E480,1
406,E a noite desligo ele e tiro o carregador,1
407,MEU HDMI NÃO FUNCIONA,1
408,na especificações es estrito 'Até 256GB OPAL2 SATA/PCie M.2',1
409,XS00010834,1
410,PE03TT1Z MTM 81CC008BR,1
411,Preciso de uma solução para a tela quebrada dessa máquina,1
412,Olá bom dia! Estou querendo comprar 2 notebooks gostaria de conversar com alguem que me tirasse duvidas sobre 2 modelos.,1
413,preciso falar com algum atendente por favor,1
414,Agora sim,1
415,notebbo,1
416,Só isso mesmo,1
417,Oiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiioiiii,1
418,"Palestrante, e utilizo muito.",1
419,ou tecnico pode ser,1
420,cliquei errado,1
421,Eu ainda não tenho o produto estou buscando apenas informações,1
422,ja faz dias que nao consigo conversar com vcs...pelo fone nao consigo e por mensseger tambem nao. vou postar isso no reclame aqui daqui a pouco puxa vida!!! precioso comprar 2 notebook para 2 sobrinhos meus,2
423,olaa,1
424,Gostaria de saber se o modelo acima eu posso  trocar o HD por um SSD?,1
425,o modelo é ideapad330,1
426,"não, já comprei este modelo",1
427,drivers thinkpad 8,1
428,"Olá, gostaria de saber o prazo de entrega do meu pedido!",1
429,Não perde a garantia?,1
430,"Sim, o problema persiste na tela",1
431,"Já resolvi, vi um vídeo no YouTube",1
432,"Porque quando levamos nas assistências técnicas, lá eles avaliam e identificam o problema.",1
433,informações,1
434,Olá boa noite,1
435,E a drenagem de energia também não fu,1
436,1203163636,1
437,Olá ...,1
438,Pode me informar um telefone que eu possa ligar pra conversar? Esse chat aqui não tá resolvendo,2
439,Vou enviar novamente,1
440,*funcionou,1
441,CPF  62377760449,1
442,Como faço para obter rastreio de um produto que foi comprado pela Amazon?,1
443,Já foi enviado pela Lenovo,1
444,PN000AXQ,1
445,"Não efetuei a compra, e sim meu primo",1
446,Gostaria de informar que enviei o notebook pra a garantia,1
447,Ta ok,1
448,Câmera do tablet nao encontrada,1
449,Já fiz os testes e não adiantou,1
450,5000279125,1
451,O notebook possui backup,1
452,TEM ALGUM ATENDENTE,1
453,atendimento super ruim,2
454,Posso enviar as minhas informações? Meu documento e tudo mais?,1
455,estou super frustrada :),2
456,vou sugerir pra minha irma que editora de uma revista para fazer uma materia sobre atendimentos de emprsas pela internet,1
457,ja passei mil vezes,1
458,parem de colocar ROBOS PARA FALAR COM OS CLIENTES,2
459,que raiva,2
460,PE03GA33,1
461,Nasc 31/03/69,1
462,Tel 81997472025,1
463,Email  marisilvaferreira@hotmail.com,1
464,"End Rua Arthur Pelopidas de Queiroz, 315 Ouro Preto Jatobá- Pe",1
465,Acho que é esse,1
466,olá,1
467,boa noite,1
468,nao,1
469,Nome: LiA mara Freire cordovil,1
470,nao era isso,1
471,9/4/1995,1
472,Vocês oferecem suporte por aqui?,1
473,2949039251,1
474,"Meu notebook está muito lento, apesar do pouco tempos e uso",1
475,selecionei a opção por engano,1
476,(completa um mês de comprado amanhã),1
477,gente pelo amor de deus,1
478,Preciso do ENDEREÇO da assistência técnica,1
479,eu ainda quero comprar o produto,1
480,É possível?,1
481,"não foi resolvido, onde compro qual a especificação correta da bateria? obr",1
482,"No caso gostaria de outro equipamento pois esse aqui com o mesmo problema 2 vezes e sacanagem com o consumidor, estou sendo prejudicado, por comprar um equipamento caro e no momento em q mais preciso ele não presta!",2
483,Travessa Floriano Peixoto n:211 prédio prefeitura CEP: 687600000 cidade marapanim: bairro centro,1
484,91 991440976/ 91985415791 e-mail: Liamarafreire0409@gmail.com,1
485,Preciso do número de postagem,1
486,Valor 1400.00,1
487,posso falar com algum atendente??,1
488,Backup já feito,1
489,nao me lembro exatamente quando comprie mas deve ter mais ou menos 1 ano e meio,1
490,Bem pelo chat não resolveu,1
491,adesivos da lenovo,1
492,Olha como fica a tela,1
493,"Acontece que eu jogo um jogo, e uso um bot chamado magebot, e de ontem para hoje ele parou de funcionar. Fica dando error internet. E aprece uma msg em ingles dizendo que eu preciso verificar o proxy, firewall ou a internet mas eu nao mechi em nada e o programa parou da noite para o dia. e nem o site do programa abre no notebook, aparece como se eu estive-se sem internet.",1
494,queria comprar outro notebook,1
495,Ok obrigado,0
496,obrigado,0
497,Em outro diretório,1
498,Tudo bem,1
499,Meu Deus!,1
500,Eu já recebi,1
501,"Aparece essa mensagem quando eu tento abrir o programa ' Could not connerct to tibiadb.com.  Check your antivirus or firewall program and allow magebot to acess the internet during loadup, or check your internet connection to our website'",1
502,Mandei mensagem reportando meu problema ontem,1
503,Ideapad330,1
504,"E quando eu entro no site o site fica tentando carregar e nao entra, da como se tive-se sem internet",1
505,tablet,1
506,tecla solta,1
507,"Farei esse procedimento amanhã, mas a questão é que esse problema se repete a cada 20 dias. Gostaria resolver de uma vez por todas com esse problema ou trocar o equipamento por outro ou devolução do valor pago.  Isso É muito ruim e incomoda muito. Tenho um Samsung que nunca me deu problemas.",2
508,Farei o procedimento é retorno com resultado.,1
509,Chekin mas ou menos assim que está no canto da tela,1
510,"Tudo bem, a compra foi realizada com CPF, o do meu Primo Rogério, posso passar o meu quando solicitado",1
511,Já chegou! Mto obg Bruna!,0
512,PE03W2TT,1
513,Check lingue ms já está assim  um tempinho,1
514,Preciso de um notebook i5 com 8gb,1
515,E estava  ligando normal  passou  um mês funcionando  depois não ligou mas,1
516,PE03VWZ5,1
517,"O computador ainda está na garantia, ela cobre esse problema nos leds? Eu trabalho com design, então pra mim é uma perda terrível, não só de bem, mas de trabalhos",2
518,SOBRE MEU SISTEMA,1
519,Check lingue imediato   aparece  assim,1
520,quero falar com alguem,1
521,"Eu enviei umas fotos da no setup da BIOS pro antigo técnico que falei a uma semana, vou reenviar ok?",1
522,As vezes aparece essa mensagem,1
523,nao consegui resolver meu problema,1
524,Ao utilizar hoje à noite apareceu isso novamente,1
525,Mais no meio,1
526,😒,2
527,gostaria de compar o notebook Lenovo,1
528,meu notebook nao inicia,1
529,No momento esta tudo ótimo,0
